name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
rls_enabled_no_policy,RLS Enabled No Policy,INFO,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has been enabled on a table but no RLS policies have been created.,"Table \`public.organization_standards\` has RLS enabled, but no policies exist",https://supabase.com/docs/guides/database/database-linter?lint=0008_rls_enabled_no_policy,"{""name"":""organization_standards"",""type"":""table"",""schema"":""public""}",rls_enabled_no_policy_public_organization_standards
rls_enabled_no_policy,RLS Enabled No Policy,INFO,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has been enabled on a table but no RLS policies have been created.,"Table \`public.requirement_evidence\` has RLS enabled, but no policies exist",https://supabase.com/docs/guides/database/database-linter?lint=0008_rls_enabled_no_policy,"{""name"":""requirement_evidence"",""type"":""table"",""schema"":""public""}",rls_enabled_no_policy_public_requirement_evidence
